stop_id,boardings,alightings,location
375,38.5,78.8,"{'latitude': '41.86593304', 'longitude': '-87.74702963'}"
376,6.7,45.7,"{'latitude': '41.86590245', 'longitude': '-87.74946275'}"
377,4,24.7,"{'latitude': '41.86584906', 'longitude': '-87.75203042'}"
379,1.3,8.2,"{'latitude': '41.86581474', 'longitude': '-87.7570127'}"
380,2.2,12.9,"{'latitude': '41.86576771', 'longitude': '-87.75926107'}"
381,0.2,4.4,"{'latitude': '41.86571503', 'longitude': '-87.7620988'}"
382,39.5,240.2,"{'latitude': '41.86566632', 'longitude': '-87.76416931'}"
386,619.2,156.6,"{'latitude': '41.880313', 'longitude': '-87.774043'}"
388,159.2,5.1,"{'latitude': '41.88000915', 'longitude': '-87.7714723'}"
389,127.8,14.7,"{'latitude': '41.88008776', 'longitude': '-87.76992191'}"
390,70.9,14.4,"{'latitude': '41.88010476', 'longitude': '-87.76821491'}"
391,73.4,39.2,"{'latitude': '41.88014676', 'longitude': '-87.76661691'}"
393,81.7,15.8,"{'latitude': '41.88018349', 'longitude': '-87.7632177'}"
394,201,51.7,"{'latitude': '41.88020276', 'longitude': '-87.76191891'}"
395,126.6,31.5,"{'latitude': '41.88019981', 'longitude': '-87.75996715'}"
396,136.6,65.9,"{'latitude': '41.88025187', 'longitude': '-87.75778965'}"
397,522.6,228.5,"{'latitude': '41.88027', 'longitude': '-87.75526'}"
402,72.7,53,"{'latitude': '41.880443', 'longitude': '-87.742998'}"
403,52.4,47.4,"{'latitude': '41.880475', 'longitude': '-87.740705'}"
406,185.8,197,"{'latitude': '41.88053063', 'longitude': '-87.7331241'}"
409,596,547.3,"{'latitude': '41.88061422', 'longitude': '-87.72582347'}"
410,193.2,114.4,"{'latitude': '41.880697', 'longitude': '-87.723388'}"
411,240.7,138.2,"{'latitude': '41.88073', 'longitude': '-87.721025'}"
412,43.9,66.6,"{'latitude': '41.8808072', 'longitude': '-87.7159745'}"
413,15,93.4,"{'latitude': '41.88081388', 'longitude': '-87.71381964'}"
415,33.5,45.1,"{'latitude': '41.880887', 'longitude': '-87.708722'}"
416,304.3,506.4,"{'latitude': '41.880902', 'longitude': '-87.706333'}"
417,72,81.2,"{'latitude': '41.880952', 'longitude': '-87.703147'}"
420,222.2,216.1,"{'latitude': '41.88100858', 'longitude': '-87.69600765'}"
421,38.2,56.4,"{'latitude': '41.88103245', 'longitude': '-87.694048'}"
423,33.7,179.8,"{'latitude': '41.88106252', 'longitude': '-87.68897646'}"
427,130.6,159.8,"{'latitude': '41.881232', 'longitude': '-87.679293'}"
428,130.9,198.4,"{'latitude': '41.881262', 'longitude': '-87.67685'}"
429,74.5,44.5,"{'latitude': '41.88129674', 'longitude': '-87.67424663'}"
430,66.6,94.7,"{'latitude': '41.8813284', 'longitude': '-87.67186305'}"
431,34.8,51,"{'latitude': '41.88137', 'longitude': '-87.669513'}"
432,189.4,349.8,"{'latitude': '41.88139461', 'longitude': '-87.66699977'}"
